Condition,Method,Clean Accuracy,Spoofing Recall,BSR,Backdoor Lift,Attacker Detect,Honest False-Flag,Attacker Trust,Honest Trust
IID,Honest FedAvg (no attack),0.7112 +/- 0.0019,0.5292 +/- 0.0115,0.6367 +/- 0.0141,+0.0000 +/- 0.0000,---,---,---,---
IID,FedAvg,0.6932 +/- 0.0032,0.3641 +/- 0.0096,0.8782 +/- 0.0178,+0.2415 +/- 0.0048,---,---,---,---
IID,Acc-weighted FedAvg,0.6897 +/- 0.0046,0.3524 +/- 0.0148,0.9402 +/- 0.0096,+0.3036 +/- 0.0124,0.0%,0.0%,0.1356 +/- 0.0009,0.0911 +/- 0.0002
IID,Coordinate-wise median,0.7101 +/- 0.0035,0.5008 +/- 0.0133,0.7013 +/- 0.0072,+0.0646 +/- 0.0074,---,---,---,---
IID,FLTrust,0.6962 +/- 0.0009,0.4687 +/- 0.0178,0.7154 +/- 0.0141,+0.0787 +/- 0.0176,84.7%,0.0%,0.0390 +/- 0.0009,0.1152 +/- 0.0002
IID,Behavioral trust (ours),0.7112 +/- 0.0017,0.5307 +/- 0.0140,0.6406 +/- 0.0102,+0.0039 +/- 0.0047,100.0%,0.3%,0.0001 +/- 0.0001,0.1250 +/- 0.0000
IID,Trust + median (ours),0.7143 +/- 0.0025,0.5560 +/- 0.0194,0.6101 +/- 0.0313,-0.0265 +/- 0.0174,100.0%,0.3%,0.0001 +/- 0.0001,0.1250 +/- 0.0000
Dirichlet a=1.0,Honest FedAvg (no attack),0.6916 +/- 0.0126,0.4871 +/- 0.0776,0.7199 +/- 0.0667,+0.0000 +/- 0.0000,---,---,---,---
Dirichlet a=1.0,FedAvg,0.6636 +/- 0.0206,0.2663 +/- 0.1193,0.9780 +/- 0.0278,+0.2581 +/- 0.0410,---,---,---,---
Dirichlet a=1.0,Acc-weighted FedAvg,0.6561 +/- 0.0207,0.2289 +/- 0.1181,0.9942 +/- 0.0081,+0.2742 +/- 0.0592,0.0%,0.7%,0.1258 +/- 0.0038,0.0936 +/- 0.0010
Dirichlet a=1.0,Coordinate-wise median,0.6938 +/- 0.0084,0.5029 +/- 0.0448,0.7447 +/- 0.0285,+0.0248 +/- 0.0950,---,---,---,---
Dirichlet a=1.0,FLTrust,0.6879 +/- 0.0085,0.5091 +/- 0.0496,0.7082 +/- 0.0272,-0.0117 +/- 0.0864,65.3%,27.8%,0.0524 +/- 0.0195,0.1119 +/- 0.0049
Dirichlet a=1.0,Behavioral trust (ours),0.6700 +/- 0.0262,0.3724 +/- 0.2241,0.9151 +/- 0.0893,+0.1952 +/- 0.1082,12.5%,4.2%,0.0973 +/- 0.0125,0.1007 +/- 0.0031
Dirichlet a=1.0,Trust + median (ours),0.6922 +/- 0.0057,0.5205 +/- 0.0566,0.7315 +/- 0.0285,+0.0116 +/- 0.0940,11.1%,4.5%,0.0973 +/- 0.0108,0.1007 +/- 0.0027
Dirichlet a=0.5,Honest FedAvg (no attack),0.6074 +/- 0.0087,0.0737 +/- 0.0981,0.9573 +/- 0.0603,+0.0000 +/- 0.0000,---,---,---,---
Dirichlet a=0.5,FedAvg,0.6137 +/- 0.0105,0.1190 +/- 0.1418,0.9999 +/- 0.0001,+0.0426 +/- 0.0603,---,---,---,---
Dirichlet a=0.5,Acc-weighted FedAvg,0.6136 +/- 0.0106,0.1151 +/- 0.1369,1.0000 +/- 0.0000,+0.0427 +/- 0.0603,0.0%,4.9%,0.1106 +/- 0.0038,0.0974 +/- 0.0010
Dirichlet a=0.5,Coordinate-wise median,0.6087 +/- 0.0124,0.0862 +/- 0.1219,0.9995 +/- 0.0007,+0.0421 +/- 0.0596,---,---,---,---
