True attackers,Method,Clean Accuracy,Spoofing Recall,BSR,Backdoor Lift,Attacker Detect,Honest False-Flag
1,Coordinate-wise median,0.7113 +/- 0.0025,0.5196 +/- 0.0139,0.6642 +/- 0.0197,+0.0275 +/- 0.0056,---,---
1,Trimmed mean (f=2),0.7102 +/- 0.0024,0.5112 +/- 0.0124,0.6746 +/- 0.0104,+0.0380 +/- 0.0038,---,---
1,Krum (f=2),0.7100 +/- 0.0044,0.5289 +/- 0.0112,0.6582 +/- 0.0240,+0.0215 +/- 0.0164,100.0%,---
1,Multi-Krum (f=2),0.7115 +/- 0.0008,0.5325 +/- 0.0107,0.6372 +/- 0.0120,+0.0005 +/- 0.0068,100.0%,---
1,FLTrust,0.6971 +/- 0.0015,0.4796 +/- 0.0185,0.6993 +/- 0.0106,+0.0626 +/- 0.0153,91.7%,0.0%
1,Trust + median (ours),0.7125 +/- 0.0023,0.5409 +/- 0.0093,0.6225 +/- 0.0231,-0.0142 +/- 0.0098,100.0%,3.1%
2,Coordinate-wise median,0.7101 +/- 0.0035,0.5008 +/- 0.0133,0.7013 +/- 0.0072,+0.0646 +/- 0.0074,---,---
2,Trimmed mean (f=2),0.7061 +/- 0.0021,0.4808 +/- 0.0121,0.7154 +/- 0.0099,+0.0787 +/- 0.0065,---,---
2,Krum (f=2),0.7071 +/- 0.0019,0.5168 +/- 0.0116,0.6698 +/- 0.0165,+0.0331 +/- 0.0035,100.0%,---
2,Multi-Krum (f=2),0.7108 +/- 0.0021,0.5282 +/- 0.0165,0.6428 +/- 0.0102,+0.0061 +/- 0.0041,100.0%,---
2,FLTrust,0.6962 +/- 0.0009,0.4687 +/- 0.0178,0.7154 +/- 0.0141,+0.0787 +/- 0.0176,84.7%,0.0%
2,Trust + median (ours),0.7143 +/- 0.0025,0.5560 +/- 0.0194,0.6101 +/- 0.0313,-0.0265 +/- 0.0174,100.0%,0.3%
3,Coordinate-wise median,0.7064 +/- 0.0018,0.4775 +/- 0.0038,0.7344 +/- 0.0137,+0.0977 +/- 0.0090,---,---
3,Trimmed mean (f=2),0.6965 +/- 0.0021,0.3874 +/- 0.0078,0.8481 +/- 0.0263,+0.2114 +/- 0.0135,---,---
3,Krum (f=2),0.7068 +/- 0.0033,0.5229 +/- 0.0158,0.6544 +/- 0.0211,+0.0177 +/- 0.0323,100.0%,---
3,Multi-Krum (f=2),0.6995 +/- 0.0003,0.4182 +/- 0.0129,0.7976 +/- 0.0183,+0.1609 +/- 0.0184,66.7%,---
3,FLTrust,0.6948 +/- 0.0016,0.4574 +/- 0.0152,0.7286 +/- 0.0113,+0.0919 +/- 0.0141,80.6%,0.0%
3,Trust + median (ours),0.7111 +/- 0.0021,0.5453 +/- 0.0196,0.6194 +/- 0.0350,-0.0172 +/- 0.0242,100.0%,0.4%
4,Coordinate-wise median,0.7029 +/- 0.0020,0.4393 +/- 0.0116,0.7820 +/- 0.0165,+0.1453 +/- 0.0031,---,---
4,Trimmed mean (f=2),0.6909 +/- 0.0077,0.3696 +/- 0.0399,0.9359 +/- 0.0245,+0.2992 +/- 0.0221,---,---
4,Krum (f=2),0.7064 +/- 0.0025,0.5159 +/- 0.0114,0.6539 +/- 0.0141,+0.0172 +/- 0.0014,100.0%,---
4,Multi-Krum (f=2),0.6914 +/- 0.0081,0.3596 +/- 0.0459,0.9204 +/- 0.0307,+0.2837 +/- 0.0280,50.0%,---
4,FLTrust,0.6935 +/- 0.0013,0.4464 +/- 0.0149,0.7426 +/- 0.0122,+0.1059 +/- 0.0169,76.4%,0.0%
4,Trust + median (ours),0.7061 +/- 0.0025,0.5330 +/- 0.0207,0.6480 +/- 0.0404,+0.0114 +/- 0.0428,94.4%,0.0%
