Method,Role,Clean Accuracy,Spoofing Recall,Precision,F1,Balanced Acc,False Alarm,BSR,Backdoor Lift,Attacker Detect,Honest False-Flag,Attacker Trust,Honest Trust,Server ms/round
Honest FedAvg (no attack),Reference (upper bound),0.7112 +/- 0.0019,0.5292 +/- 0.0115,0.6782 +/- 0.0042,0.5944 +/- 0.0064,0.6809 +/- 0.0032,0.1675 +/- 0.0062,0.6367 +/- 0.0141,+0.0000 +/- 0.0000,---,---,---,---,1.0 +/- 0.0
FedAvg,Standard aggregation,0.6932 +/- 0.0032,0.3641 +/- 0.0096,0.7352 +/- 0.0061,0.4869 +/- 0.0089,0.6383 +/- 0.0041,0.0874 +/- 0.0033,0.8782 +/- 0.0178,+0.2415 +/- 0.0048,---,---,---,---,1.0 +/- 0.0
Accuracy-weighted FedAvg,The vulnerable target,0.6897 +/- 0.0046,0.3524 +/- 0.0148,0.7335 +/- 0.0059,0.4759 +/- 0.0140,0.6335 +/- 0.0062,0.0854 +/- 0.0035,0.9402 +/- 0.0096,+0.3036 +/- 0.0124,0.0%,0.0%,0.1356 +/- 0.0009,0.0911 +/- 0.0002,1.3 +/- 0.0
Coordinate-wise median,Robust aggregation,0.7101 +/- 0.0035,0.5008 +/- 0.0133,0.6894 +/- 0.0024,0.5800 +/- 0.0094,0.6752 +/- 0.0051,0.1504 +/- 0.0037,0.7013 +/- 0.0072,+0.0646 +/- 0.0074,---,---,---,---,0.9 +/- 0.0
Trimmed mean,Byzantine-robust baseline,0.7061 +/- 0.0021,0.4808 +/- 0.0121,0.6906 +/- 0.0014,0.5668 +/- 0.0080,0.6686 +/- 0.0038,0.1436 +/- 0.0045,0.7154 +/- 0.0099,+0.0787 +/- 0.0065,---,---,---,---,1.4 +/- 0.0
Krum,Robust FL baseline,0.7071 +/- 0.0019,0.5168 +/- 0.0116,0.6750 +/- 0.0069,0.5852 +/- 0.0056,0.6754 +/- 0.0024,0.1660 +/- 0.0085,0.6698 +/- 0.0165,+0.0331 +/- 0.0035,100.0%,---,---,---,1.4 +/- 0.1
Multi-Krum,Robust FL baseline,0.7108 +/- 0.0021,0.5282 +/- 0.0165,0.6778 +/- 0.0031,0.5935 +/- 0.0094,0.6804 +/- 0.0045,0.1674 +/- 0.0075,0.6428 +/- 0.0102,+0.0061 +/- 0.0041,100.0%,---,---,---,1.4 +/- 0.0
FLTrust,Closest root-set baseline,0.6962 +/- 0.0009,0.4687 +/- 0.0178,0.6730 +/- 0.0100,0.5522 +/- 0.0094,0.6583 +/- 0.0029,0.1522 +/- 0.0124,0.7154 +/- 0.0141,+0.0787 +/- 0.0176,84.7%,0.0%,0.0390 +/- 0.0009,0.1152 +/- 0.0002,204.4 +/- 0.3
Behavioral trust (ours),Main contribution,0.7112 +/- 0.0017,0.5307 +/- 0.0140,0.6775 +/- 0.0032,0.5951 +/- 0.0078,0.6811 +/- 0.0037,0.1685 +/- 0.0067,0.6406 +/- 0.0102,+0.0039 +/- 0.0047,100.0%,0.3%,0.0001 +/- 0.0001,0.1250 +/- 0.0000,38.0 +/- 0.3
"Trust + median (ours, D2)",Full proposed defense,0.7143 +/- 0.0025,0.5560 +/- 0.0194,0.6732 +/- 0.0088,0.6087 +/- 0.0089,0.6879 +/- 0.0041,0.1803 +/- 0.0131,0.6101 +/- 0.0313,-0.0265 +/- 0.0174,100.0%,0.3%,0.0001 +/- 0.0001,0.1250 +/- 0.0000,38.6 +/- 0.9
