Condition,Method,Clean Accuracy,Spoofing Recall,BSR,Backdoor Lift,Attacker Detect,Honest False-Flag,Attacker Trust,Honest Trust
IID,Honest FedAvg (no attack),0.7112 +/- 0.0019,0.5292 +/- 0.0115,0.6367 +/- 0.0141,+0.0000 +/- 0.0000,---,---,---,---
IID,FedAvg,0.6932 +/- 0.0032,0.3641 +/- 0.0096,0.8782 +/- 0.0178,+0.2415 +/- 0.0048,---,---,---,---
IID,Acc-weighted FedAvg,0.6897 +/- 0.0046,0.3524 +/- 0.0148,0.9402 +/- 0.0096,+0.3036 +/- 0.0124,0.0%,0.0%,0.1356 +/- 0.0009,0.0911 +/- 0.0002
IID,Coordinate-wise median,0.7101 +/- 0.0035,0.5008 +/- 0.0133,0.7013 +/- 0.0072,+0.0646 +/- 0.0074,---,---,---,---
IID,FLTrust,0.6962 +/- 0.0009,0.4687 +/- 0.0178,0.7154 +/- 0.0141,+0.0787 +/- 0.0176,84.7%,0.0%,0.0390 +/- 0.0009,0.1152 +/- 0.0002
IID,Behavioral trust (ours),0.7112 +/- 0.0017,0.5307 +/- 0.0140,0.6406 +/- 0.0102,+0.0039 +/- 0.0047,100.0%,0.3%,0.0001 +/- 0.0001,0.1250 +/- 0.0000
IID,Trust + median (ours),0.7143 +/- 0.0025,0.5560 +/- 0.0194,0.6101 +/- 0.0313,-0.0265 +/- 0.0174,100.0%,0.3%,0.0001 +/- 0.0001,0.1250 +/- 0.0000
Ratio skew a=10 (mild),Honest FedAvg (no attack),0.6998 +/- 0.0017,0.4937 +/- 0.0091,0.6788 +/- 0.0098,+0.0000 +/- 0.0000,---,---,---,---
Ratio skew a=10 (mild),FedAvg,0.6868 +/- 0.0044,0.3461 +/- 0.0125,0.9370 +/- 0.0254,+0.2583 +/- 0.0337,---,---,---,---
Ratio skew a=10 (mild),Acc-weighted FedAvg,0.6807 +/- 0.0038,0.3153 +/- 0.0172,0.9779 +/- 0.0030,+0.2991 +/- 0.0109,0.0%,0.0%,0.1313 +/- 0.0008,0.0922 +/- 0.0002
Ratio skew a=10 (mild),Coordinate-wise median,0.7035 +/- 0.0032,0.4487 +/- 0.0149,0.7498 +/- 0.0111,+0.0710 +/- 0.0209,---,---,---,---
Ratio skew a=10 (mild),FLTrust,0.6919 +/- 0.0037,0.4639 +/- 0.0163,0.7329 +/- 0.0005,+0.0542 +/- 0.0097,65.3%,8.7%,0.0429 +/- 0.0076,0.1143 +/- 0.0019
Ratio skew a=10 (mild),Behavioral trust (ours),0.6895 +/- 0.0061,0.3758 +/- 0.0401,0.9162 +/- 0.0307,+0.2374 +/- 0.0404,0.0%,0.3%,0.0950 +/- 0.0023,0.1013 +/- 0.0006
Ratio skew a=10 (mild),Trust + median (ours),0.7035 +/- 0.0039,0.4555 +/- 0.0150,0.7435 +/- 0.0129,+0.0647 +/- 0.0228,8.3%,2.1%,0.0942 +/- 0.0044,0.1014 +/- 0.0011
Ratio skew a=3 (moderate),Honest FedAvg (no attack),0.6903 +/- 0.0012,0.4446 +/- 0.0394,0.7388 +/- 0.0386,+0.0000 +/- 0.0000,---,---,---,---
Ratio skew a=3 (moderate),FedAvg,0.6733 +/- 0.0033,0.2983 +/- 0.0202,0.9843 +/- 0.0126,+0.2455 +/- 0.0279,---,---,---,---
Ratio skew a=3 (moderate),Acc-weighted FedAvg,0.6702 +/- 0.0032,0.2798 +/- 0.0184,0.9931 +/- 0.0071,+0.2543 +/- 0.0323,0.0%,0.0%,0.1259 +/- 0.0011,0.0935 +/- 0.0003
