Condition,Seed,Min rows,Max rows,Spoof frac min,Spoof frac max,Attacker spoofed rows
IID,42,9690,9690,0.400,0.400,"[3876, 3876]"
IID,7,9690,9690,0.400,0.400,"[3876, 3876]"
IID,123,9690,9690,0.400,0.400,"[3876, 3876]"
Ratio skew a=10 (mild),42,9690,9690,0.277,0.594,"[4363, 3333]"
Ratio skew a=10 (mild),7,9688,9689,0.191,0.554,"[5364, 3069]"
Ratio skew a=10 (mild),123,9688,9689,0.167,0.693,"[2843, 6719]"
Ratio skew a=3 (moderate),42,9621,9666,0.191,0.722,"[4644, 2823]"
Ratio skew a=3 (moderate),7,9689,9689,0.119,0.671,"[6506, 2357]"
Ratio skew a=3 (moderate),123,9393,9595,0.124,0.727,"[1944, 6976]"
Ratio skew a=1 (severe),42,8679,9367,0.134,0.745,"[1163, 1163]"
Ratio skew a=1 (severe),7,9399,9597,0.124,0.727,"[6977, 1163]"
Ratio skew a=1 (severe),123,8964,9458,0.130,0.738,"[1855, 1163]"
