Condition,Seed,Min rows,Max rows,Spoof frac min,Spoof frac max,Attacker spoofed rows
IID,42,9690,9690,0.400,0.400,"[3876, 3876]"
IID,7,9690,9690,0.400,0.400,"[3876, 3876]"
IID,123,9690,9690,0.400,0.400,"[3876, 3876]"
Dirichlet a=1.0,42,3751,15334,0.009,0.932,"[277, 4140]"
Dirichlet a=1.0,7,1774,30305,0.001,0.917,"[7233, 1812]"
Dirichlet a=1.0,123,542,31929,0.149,0.817,"[1680, 2843]"
Dirichlet a=0.5,42,2193,22374,0.008,0.912,"[18, 5167]"
Dirichlet a=0.5,7,604,31331,0.001,0.933,"[127, 6279]"
Dirichlet a=0.5,123,833,23848,0.000,0.999,"[4666, 1961]"
Dirichlet a=0.1,42,605,30235,0.000,1.000,"[76, 1791]"
Dirichlet a=0.1,7,192,28135,0.000,1.000,"[221, 1543]"
Dirichlet a=0.1,123,464,26617,0.000,1.000,"[0, 3580]"
